iter	Passed	Remaining
0	47	46966
1	47	23645
2	47	15857
3	48	11967
4	48	9669
5	48	8109
6	49	6990
7	49	6153
8	49	5499
9	50	4992
10	50	4564
11	51	4209
12	51	3905
13	51	3661
14	52	3435
15	52	3238
16	53	3076
17	53	2930
18	55	2839
19	55	2712
20	55	2597
21	57	2550
22	57	2463
23	58	2371
24	58	2287
25	59	2210
26	59	2138
27	61	2127
28	61	2067
29	63	2042
30	63	1989
31	64	1940
32	64	1895
33	65	1851
34	65	1810
35	66	1772
36	66	1736
37	68	1742
38	69	1708
39	72	1745
40	73	1713
41	74	1708
42	75	1678
43	75	1649
44	76	1621
45	78	1619
46	78	1592
47	79	1568
48	79	1544
49	80	1520
50	80	1498
51	81	1483
52	81	1462
53	82	1442
54	82	1423
55	83	1404
56	83	1387
57	84	1369
58	84	1353
59	85	1337
60	85	1321
61	86	1307
62	86	1293
63	87	1278
64	87	1264
65	88	1250
66	89	1241
67	89	1224
68	90	1216
69	90	1204
70	91	1192
71	91	1181
72	93	1188
73	94	1177
74	96	1192
75	97	1190
76	98	1180
77	98	1169
78	99	1159
79	99	1149
80	100	1139
81	100	1129
82	101	1120
83	101	1111
84	102	1102
85	102	1094
86	103	1083
87	103	1074
88	104	1066
89	104	1058
90	105	1050
91	105	1042
92	106	1039
93	107	1032
94	107	1024
95	108	1018
96	108	1011
97	109	1009
98	110	1008
99	111	1005
100	112	998
101	112	989
102	114	994
103	114	988
104	115	982
105	115	975
106	116	969
107	116	963
108	117	958
109	117	952
110	118	949
111	119	943
112	119	937
113	119	932
114	120	926
115	120	920
116	121	915
117	121	910
118	123	911
119	123	905
120	124	901
121	124	896
122	124	889
123	125	884
124	125	879
125	126	875
126	126	870
127	126	864
128	127	859
129	127	855
130	128	851
131	128	847
132	130	850
133	130	846
134	131	842
135	132	840
136	132	836
137	133	832
138	133	829
139	134	825
140	134	821
141	135	818
142	135	814
143	136	810
144	136	806
145	137	802
146	137	798
147	137	793
148	138	789
149	138	786
150	139	782
151	139	779
152	140	776
153	140	771
154	140	767
155	141	764
156	141	760
157	142	758
158	142	754
159	143	750
160	143	747
161	143	743
162	144	742
163	145	739
164	145	735
165	145	731
166	146	729
167	146	726
168	147	723
169	147	719
170	147	716
171	148	712
172	148	709
173	148	707
174	149	704
175	149	701
176	150	697
177	150	694
178	150	692
179	151	689
180	151	685
181	151	682
182	152	679
183	152	676
184	152	673
185	153	671
186	153	668
187	155	671
188	155	668
189	156	665
190	156	663
191	157	660
192	157	657
193	157	655
194	158	653
195	158	651
196	159	648
197	159	645
198	159	643
199	160	640
200	160	638
201	161	636
202	161	633
203	161	631
204	162	629
205	162	627
206	163	624
207	163	622
208	163	619
209	164	617
210	164	615
211	165	613
212	165	610
213	165	609
214	166	607
215	166	605
216	167	602
217	167	600
218	167	598
219	168	596
220	168	594
221	169	593
222	169	591
223	170	589
224	170	587
225	170	585
226	171	583
227	171	581
228	172	579
229	172	576
230	172	575
231	173	573
232	173	571
233	174	569
234	174	568
235	174	566
236	175	564
237	175	562
238	176	560
239	176	559
240	176	557
241	177	555
242	177	553
243	177	551
244	178	549
245	178	548
246	179	546
247	179	544
248	179	542
249	180	541
250	180	540
251	181	539
252	182	538
253	182	536
254	183	534
255	183	533
256	184	532
257	184	530
258	185	529
259	187	532
260	187	530
261	187	529
262	190	532
263	190	531
264	190	529
265	191	527
266	191	525
267	192	524
268	192	523
269	192	521
270	193	519
271	193	518
272	197	525
273	197	524
274	198	522
275	198	521
276	198	519
277	199	518
278	199	516
279	200	514
280	200	513
281	201	512
282	201	510
283	202	510
284	202	508
285	203	507
286	203	505
287	203	503
288	204	502
289	204	501
290	205	500
291	205	498
292	205	496
293	206	495
294	206	493
295	207	492
296	207	491
297	207	489
298	208	488
299	208	487
300	209	485
301	209	484
302	209	483
303	210	481
304	210	480
305	211	479
306	211	477
307	212	476
308	212	474
309	212	473
310	213	472
311	213	471
312	213	469
313	214	468
314	214	466
315	215	465
316	215	464
317	215	463
318	216	461
319	216	460
320	217	459
321	217	457
322	217	456
323	218	455
324	218	454
325	219	453
326	219	452
327	220	450
328	220	449
329	220	448
330	221	447
331	221	445
332	222	444
333	222	443
334	222	442
335	223	441
336	223	439
337	223	438
338	224	437
339	224	436
340	225	435
341	225	433
342	226	432
343	226	432
344	226	430
345	227	429
346	227	428
347	227	426
348	228	425
349	228	424
350	229	423
351	229	422
352	229	421
353	230	420
354	230	419
355	231	418
356	231	416
357	231	415
358	232	414
359	232	413
360	232	412
361	233	411
362	233	410
363	234	409
364	234	408
365	235	407
366	235	406
367	235	405
368	236	403
369	236	402
370	237	401
371	237	400
372	238	400
373	238	398
374	238	397
375	239	396
376	239	395
377	239	394
378	240	393
379	240	392
380	241	391
381	241	390
382	241	389
383	242	388
384	242	387
385	242	386
386	243	385
387	243	384
388	244	383
389	244	382
390	244	381
391	245	380
392	245	379
393	246	378
394	246	377
395	246	376
396	247	375
397	247	374
398	248	373
399	248	372
400	248	371
401	249	370
402	249	369
403	250	369
404	250	368
405	251	367
406	251	366
407	251	365
408	252	364
409	252	363
410	252	362
411	253	361
412	253	360
413	254	359
414	254	358
415	255	358
416	255	357
417	255	356
418	256	355
419	256	354
420	256	353
421	257	352
422	257	351
423	258	350
424	258	350
425	259	349
426	259	348
427	259	347
428	260	346
429	260	345
430	260	344
431	261	343
