iter	Passed	Remaining
0	48	48703
1	49	24610
2	49	16505
3	50	12455
4	50	10023
5	50	8404
6	51	7274
7	51	6401
8	52	5726
9	52	5229
10	53	4782
11	55	4609
12	56	4278
13	56	3998
14	57	3758
15	57	3548
16	58	3364
17	58	3198
18	59	3050
19	59	2911
20	59	2786
21	60	2672
22	60	2575
23	60	2479
24	61	2391
25	61	2313
26	62	2238
27	62	2167
28	62	2108
29	63	2046
30	63	1989
31	64	1939
32	64	1889
33	64	1841
34	65	1797
35	65	1754
36	66	1720
37	66	1687
38	67	1653
39	67	1624
40	68	1593
41	68	1563
42	68	1533
43	69	1507
44	69	1482
45	70	1456
46	70	1431
47	71	1411
48	71	1388
49	72	1368
50	72	1349
51	72	1329
52	73	1311
53	73	1294
54	74	1278
55	74	1262
56	75	1248
57	75	1231
58	76	1215
59	76	1200
60	77	1185
61	77	1170
62	77	1155
63	78	1141
64	78	1128
65	78	1115
66	79	1102
67	79	1089
68	80	1080
69	80	1068
70	80	1056
71	81	1044
72	81	1033
73	81	1023
74	82	1012
75	82	1004
76	83	996
77	83	986
78	83	977
79	84	968
80	84	959
81	84	950
82	85	940
83	85	931
84	85	923
85	86	915
86	86	908
87	86	900
88	87	892
89	87	884
90	87	877
91	88	871
92	88	864
93	88	857
94	89	850
95	89	844
96	90	838
97	90	831
98	90	825
99	91	819
100	91	813
101	91	807
102	92	802
103	92	796
104	92	791
105	93	785
106	93	780
107	93	775
108	94	769
109	94	764
110	94	759
111	95	754
112	95	750
113	96	746
114	96	742
115	96	737
116	97	732
117	97	727
118	97	723
119	98	718
120	98	714
121	98	709
122	98	705
123	99	701
124	99	697
125	99	693
126	100	689
127	100	685
128	100	681
129	101	678
130	101	675
131	102	672
132	102	668
133	102	665
134	103	661
135	103	657
136	103	654
137	104	651
138	104	648
139	104	644
140	105	641
141	105	637
142	105	634
143	106	631
144	106	628
145	106	625
146	107	622
147	107	619
148	107	616
149	108	613
150	108	611
151	109	608
152	109	605
153	109	602
154	110	599
155	110	597
156	110	594
157	111	591
158	111	589
159	111	586
160	111	583
161	112	580
162	112	578
163	113	576
164	113	574
165	113	571
166	114	569
167	114	567
168	114	564
169	115	562
170	115	560
171	115	558
172	116	555
173	116	553
174	116	551
175	117	549
176	117	547
177	118	545
178	118	543
179	118	541
180	119	539
181	119	537
182	119	534
183	120	532
184	120	530
185	120	528
186	121	526
187	121	524
188	121	522
189	122	520
190	122	518
191	122	517
192	123	515
193	123	513
194	124	512
195	124	510
196	124	508
197	125	507
198	125	505
199	125	503
200	126	502
201	126	501
202	127	499
203	127	498
204	128	496
205	128	494
206	128	493
207	129	491
208	129	489
209	129	488
210	130	486
211	130	484
212	130	483
213	131	481
214	131	480
215	131	478
216	132	477
217	132	475
218	132	473
219	133	472
220	133	470
221	133	469
222	134	468
223	134	467
224	135	466
225	135	465
226	136	464
227	136	463
228	137	462
229	137	461
230	138	460
231	138	458
232	139	457
233	139	456
234	139	455
235	140	454
236	140	453
237	141	452
238	141	451
239	142	450
240	142	449
241	143	447
242	143	446
243	143	445
244	144	444
245	144	443
246	147	449
247	147	448
248	148	447
249	148	446
250	149	445
251	149	444
252	150	443
253	150	442
254	151	442
255	151	440
256	152	440
257	152	439
258	153	438
259	153	437
260	154	436
261	154	434
262	154	433
263	155	432
264	155	431
265	156	430
266	156	429
267	157	429
268	157	428
269	158	427
270	158	426
271	159	425
272	159	424
273	160	424
274	160	422
275	160	422
276	161	420
277	161	420
278	162	419
279	162	418
280	163	417
281	163	416
282	164	415
283	164	414
284	164	413
285	166	414
286	166	413
287	166	412
288	167	411
289	167	410
290	168	409
291	168	408
292	168	407
293	169	406
294	169	404
295	169	403
296	170	403
297	170	401
298	171	400
299	171	399
300	171	398
301	172	397
302	174	401
303	174	400
304	175	399
305	175	398
306	176	397
307	176	396
308	177	395
309	177	395
310	178	394
311	178	393
312	178	392
313	179	391
314	179	390
315	179	389
316	180	388
317	180	387
318	182	389
319	182	388
320	183	387
321	185	391
322	186	390
323	186	389
324	187	388
325	187	387
326	187	386
327	188	385
328	188	384
329	188	383
330	189	382
331	189	381
332	189	380
333	190	379
334	190	378
335	190	377
336	191	376
337	191	375
338	192	375
339	192	374
340	195	377
341	196	377
342	198	380
343	199	379
344	199	378
345	200	378
346	200	378
347	201	377
348	202	378
349	203	378
350	204	377
351	207	381
352	207	380
353	208	380
354	210	382
355	211	381
356	211	380
357	213	382
358	213	382
359	214	381
360	216	382
361	217	382
362	217	382
363	220	386
364	221	385
365	221	384
366	222	383
367	225	386
368	225	385
369	226	386
370	230	389
371	231	391
372	232	390
373	232	389
374	233	389
375	234	388
376	235	389
377	236	388
378	237	388
379	237	388
380	238	387
381	239	386
382	239	385
383	240	385
384	240	384
385	241	383
386	241	382
387	242	382
388	242	381
389	243	380
390	244	380
391	244	379
392	245	378
393	247	380
394	247	379
395	248	378
396	248	377
397	249	377
398	250	376
399	250	375
400	251	375
401	251	374
402	252	373
403	254	375
404	257	378
405	257	377
406	260	378
407	260	378
408	261	377
409	262	377
410	262	376
411	263	375
412	263	374
413	264	374
414	264	373
415	265	372
416	266	371
417	266	371
418	267	370
419	267	369
420	268	369
421	269	368
422	269	367
423	270	367
424	271	366
425	271	365
426	273	366
427	273	365
428	274	364
429	274	364
430	275	363
431	275	362
432	276	361
433	276	361
434	277	360
435	278	360
436	278	359
437	279	359
438	280	358
439	280	357
440	282	357
441	282	357
442	283	356
443	284	355
444	284	355
445	285	354
446	286	354
447	289	356
448	290	356
449	291	355
450	291	354
451	292	354
452	292	353
453	293	352
454	294	352
455	294	351
456	295	350
457	295	350
458	296	349
459	297	349
460	298	348
461	298	347
462	299	346
463	299	346
464	300	346
465	301	345
466	301	344
467	302	343
468	303	343
469	303	342
470	304	341
471	305	341
472	306	341
473	306	340
474	307	340
475	308	339
476	308	338
477	309	338
478	310	337
479	310	336
480	311	336
481	312	335
482	312	334
483	313	334
484	313	333
485	314	332
486	314	331
487	315	331
488	316	330
489	316	329
490	317	328
491	317	328
492	318	327
493	318	326
494	319	325
495	320	325
496	320	324
497	321	323
498	321	323
499	322	322
500	323	321
501	324	321
502	324	320
503	325	319
504	325	319
505	326	318
506	329	320
507	334	323
508	337	325
509	338	324
510	338	324
511	347	330
512	348	330
513	348	329
514	351	331
515	352	330
516	355	331
517	355	330
518	356	330
519	356	329
520	357	328
521	357	327
522	357	326
523	358	325
524	358	324
525	359	323
526	359	322
527	360	321
528	360	321
529	361	320
530	361	319
531	361	318
532	362	317
533	362	316
534	362	315
535	363	314
536	363	313
537	364	312
538	364	311
539	365	311
540	365	310
541	365	309
542	366	308
543	366	307
544	367	306
545	367	305
546	368	304
547	370	305
548	371	305
549	371	304
550	372	303
551	372	302
552	373	301
553	373	300
554	374	299
555	374	299
556	375	298
557	375	297
558	375	296
559	376	295
560	376	294
561	376	293
562	377	292
563	377	292
564	378	291
565	378	290
566	379	289
